time,B&H,Classical,Fuzzy,Fuzzy C,Fuzzy PSO,Fuzzy C PSO
1705978800,4311.518403122577,,,,,
1705982400,4317.088135260535,,,,,
1705986000,4321.773456454013,,,,,
1705989600,4313.827292305952,,,,,
1705993200,4284.298927103091,,,,,
1705996800,4239.825331144797,3344.432116901632,4256.458786876417,4295.124261547056,4254.05656479459,4296.161033246327
1706000400,4134.458272662014,3320.056210927231,4181.406840512127,4216.268100364261,4188.364720967486,4256.114735635013
1706004000,4134.824942673189,,,,,
1706007600,4129.532001052303,3326.063262016333,4175.451282777969,,4182.330051362994,
1706011200,4150.008815578422,,,,,
1706014800,4109.392903394999,,,,,
1706018400,4112.566697906523,,,,,
1706022000,4147.25025427817,,,,,
1706025600,4147.563886349706,,,,,
1706029200,4148.7880889592125,,,,,
1706032800,4123.619152814268,,,,,
1706036400,4114.464829230009,,,,,
1706040000,4126.584007123234,,,,,
1706043600,4129.995567263729,,,,,
1706047200,4164.007654638362,,,,,
1706050800,4196.47171480385,,,,,
1706054400,4214.019996867101,,,,,
1706058000,4175.403333850106,,,,,
1706061600,4180.967307392402,,,,,
1706065200,4165.84008911982,,,,,
1706068800,4145.989851806155,,,,,
1706072400,4163.384098484732,,,,,
1706076000,4162.882315743523,,,,,
1706079600,4168.795609801965,,,,,
1706083200,4169.739513707503,,,,,
1706086800,4173.912504434507,,,,,
1706090400,4209.354497095144,,,,,
1706094000,4193.183554548298,,,,,
1706097600,4178.916526267907,,,,,
1706101200,4170.733624165946,,,,,
1706104800,4162.974835936104,,,,,
1706108400,4176.226652410644,,,,,
1706112000,4183.185778132938,,,,,
1706115600,4173.01311403778,,,,,
1706119200,4147.8881780790625,,,,,
1706122800,4144.84335960055,,,,,
1706126400,4123.015578614635,,4172.430899825529,4213.247717411821,4179.309668410554,4253.094352682573
1706130000,4146.011619208477,,,,,
1706133600,4155.234688904517,,,,,
1706137200,4172.477422276366,,,,,
1706140800,4174.516223558,,,,,
1706144400,4145.90191273385,,,,,
1706148000,4129.292919407715,3314.0221392396074,4156.626738049439,4197.595328425235,4163.505506634464,4237.4419636959865
1706151600,4146.932481921495,,,,,
1706155200,4134.930944207956,,,,,
1706158800,4129.937110286813,,,,,
1706162400,4150.393972442019,,,,,
1706166000,4165.119859695078,,,,,
1706169600,4161.285266858308,,,,,
1706173200,4146.277978389572,,,,,
1706176800,4185.122358598726,,,,,
1706180400,4182.225674813709,,,,,
1706184000,4150.075900981295,,,,,
1706187600,4147.294990921432,,,,,
1706191200,4159.6502375722075,,,,,
1706194800,4131.779879152318,,,,,
1706198400,4115.064731528812,,,,,
1706202000,4134.812725442848,,,,,
1706205600,4139.479907931612,,,,,
1706209200,4152.442583659398,,,,,
1706212800,4147.657528412694,,,,,
1706216400,4151.923588922587,,,,,
1706220000,4155.445449736121,,,,,
1706223600,4153.509865919601,,,,,
1706227200,4147.226911803496,,,,,
1706230800,4164.505676941093,,,,,
1706234400,4175.618887222101,,,,,
1706238000,4168.635976972234,,,,,
1706241600,4171.751699407951,,,,,
1706245200,4170.3517227018,,,,,
1706248800,4162.961317422181,,,,,
1706252400,4153.283958075235,,,,,
1706256000,4170.240040107012,,,,,
1706259600,4172.283667230478,,,,,
1706263200,4241.920846771136,,,,,
1706266800,4273.788766795696,,,,,
1706270400,4258.373005256333,,,,,
1706274000,4250.959869293558,,,,,
1706277600,4288.108855635194,,,,,
1706281200,4280.575447070214,,,,,
1706284800,4315.700224794131,,,,,
1706288400,4301.675490329773,,,,,
1706292000,4307.873891292911,,,,,
1706295600,4299.58512276667,,,,,
1706299200,4296.870492950278,,,,,
1706302800,4298.889457215625,,,,,
1706306400,4301.702065106045,,,,,
1706310000,4298.442036043378,,,,,
1706313600,4309.127228122787,,,,,
1706317200,4306.014577657134,,,,,
1706320800,4312.910767000272,,,,,
1706324400,4318.186141047928,,,,,
1706328000,4317.784318283066,,,,,
1706331600,4303.5984630523435,,,,,
1706335200,4298.821769831273,,,,,
1706338800,4292.4579493079,,,,,
1706342400,4279.500780887489,,,,,
1706346000,4300.086949339506,,,,,
1706349600,4301.776427125245,,,,,
1706353200,4302.70476674784,,,,,
1706356800,4298.312109438477,,,,,
1706360400,4300.140802439393,,,,,
1706364000,4304.222810290182,,,,,
1706367600,4306.529292939515,,,,,
1706371200,4299.049144622231,,,,,
1706374800,4303.474060163276,,,,,
1706378400,4309.483355590187,,,,,
1706382000,4320.398706905919,,,,,
1706385600,4326.113265808043,,,,,
1706389200,4329.310077245623,,,,,
1706392800,4326.686133506194,,,,,
1706396400,4325.349451720921,,,,,
1706400000,4315.513103934276,,,,,
1706403600,4330.142429100657,,,,,
1706407200,4329.060654045602,,,,,
1706410800,4342.76740415982,,,,,
1706414400,4381.738942666083,3310.963477579165,,,,
